,Path Length,Acceleration Usage,Steering Usage,Average Speed,Avg Computational Time,Robot Number,File Name,Method,Initial Distance,Solver Failure,Collision Number,Noise Scaling,Model Type
162,29.87372368426184,0.4019142919587132,0.0358610960874467,1.8532940485653813,0.0029445829033211,8,circular_seed_38.json,C3BF,10.0,0,0,0.0,Kinematic
163,30.467379687063776,1.363337803647881,0.0489731036401718,1.7621826696601677,0.0028546987953832,8,circular_seed_38.json,CBF,10.0,0,0,0.0,Kinematic
164,45.21853496116928,1.3119930429319802,0.2141420487229024,1.6609093033195768,0.0520769607052634,12,circular_seed_50.json,DWA,11.0,0,0,0.0,Kinematic
165,31.27433222143813,0.4728365488004258,0.0320167220751279,1.831378909346692,0.0030167287333191,12,circular_seed_50.json,C3BF,11.0,4,0,0.0,Kinematic
166,63.76828891358929,1.9527546741824544,0.077119935022891,1.3010228798747991,0.0041860338873739,12,circular_seed_50.json,CBF,11.0,0,0,0.0,Kinematic
167,25.56354278515258,1.5083299546378872,0.2514974664676179,1.7013003133474427,0.0428191587420704,7,circular_seed_17.json,DWA,10.0,0,0,0.0,Kinematic
168,31.11072023633114,0.3670912892234879,0.04545291427646,1.8487549699035173,0.0025438504503262,7,circular_seed_17.json,C3BF,10.0,0,0,0.0,Kinematic
169,30.93574597736748,1.1023264392540633,0.059610495963061,1.7371241239626656,0.0025273220534256,7,circular_seed_17.json,CBF,10.0,0,0,0.0,Kinematic
170,37.62002757107885,1.4252804953487332,0.2131884050172894,1.6167163059833805,0.0504971908680366,11,circular_seed_32.json,DWA,10.0,0,0,0.0,Kinematic
171,36.37891048601808,0.3970846041351386,0.0316981863685168,1.841109277997159,0.0029648852631784,11,circular_seed_32.json,C3BF,10.0,1,0,0.0,Kinematic
172,38.13151590024045,1.4129303593628757,0.0495554321680634,1.7804191528716848,0.0029918221151752,11,circular_seed_32.json,CBF,10.0,0,0,0.0,Kinematic
173,24.74468228729712,1.700004857376566,0.1156363533909354,1.804125013737204,0.0352838690414566,6,circular_seed_14.json,DWA,10.0,0,0,0.0,Kinematic
174,5.004690835836949,0.3676605648255351,0.0478508346008581,1.8518587493643075,0.0025936425742456,6,circular_seed_14.json,C3BF,10.0,0,1,0.0,Kinematic
175,22.07355022064653,1.2340187045844695,0.0713077899377489,1.7167206831486068,0.0025328567443793,6,circular_seed_14.json,CBF,10.0,0,0,0.0,Kinematic
176,69.08344461685107,1.255321192803793,0.2388551041424172,1.6187663249352704,0.0475455935228986,11,circular_seed_36.json,DWA,10.0,0,0,0.0,Kinematic
177,42.570759634527846,0.4096343213596095,0.0430411257976154,1.8302208513196307,0.0036215429852722,11,circular_seed_36.json,C3BF,10.0,0,0,0.0,Kinematic
178,44.01312498946056,1.5624370241265362,0.0607373147182183,1.7220439878208909,0.0033466051786373,11,circular_seed_36.json,CBF,10.0,0,0,0.0,Kinematic
179,41.27101906483214,1.326292432228099,0.2068546235416519,1.6037947109570372,0.0462459408048732,10,circular_seed_45.json,DWA,10.0,0,0,0.0,Kinematic
180,31.55655207289692,0.5005754397321255,0.0447679634952628,1.834468303150684,0.010279278989059,10,circular_seed_45.json,C3BF,10.0,1,0,0.0,Kinematic
181,30.177801479423216,1.4585707403982555,0.0303339298849338,1.343697136189715,0.0095169479844655,10,circular_seed_45.json,CBF,10.0,0,0,0.0,Kinematic
182,27.986743779552008,1.3500097485021845,0.2159022033990559,1.6048076025090117,0.0528475738270378,13,circular_seed_55.json,DWA,11.5,0,0,0.0,Kinematic
183,33.97629480698412,0.3941479817852598,0.0334379677332589,1.8472792137455047,0.0117088824733217,13,circular_seed_55.json,C3BF,11.5,0,0,0.0,Kinematic
184,298.6813443279009,1.91406523862896,0.0493436342620226,1.5427699130414052,0.0073369396596715,13,circular_seed_55.json,CBF,11.5,0,0,0.0,Kinematic
185,60.60292647876252,1.433755439210694,0.200799445791246,1.720824405478556,0.0560654918240829,14,circular_seed_57.json,DWA,11.5,0,0,0.0,Kinematic
186,13.38522056277813,0.5330748458011226,0.0652388619444119,1.773966442827583,0.0116066724662012,14,circular_seed_57.json,C3BF,11.5,11,1,0.0,Kinematic
187,-4.455759649282876,3.985040152572558,0.114013973752245,0.8513130671131741,0.0070776625377375,14,circular_seed_57.json,CBF,11.5,0,5,0.0,Kinematic
188,39.31608834179035,1.4710408841899008,0.1559954486035485,1.7644758032906531,0.0501559755194776,10,circular_seed_42.json,DWA,10.0,0,0,0.0,Kinematic
189,11.062529372778254,0.6282257132985966,0.0559401377319806,1.779229293362829,0.0111946111807793,10,circular_seed_42.json,C3BF,10.0,7,0,0.0,Kinematic
190,24.10474785078275,2.7298255221445915,0.1131205508718809,1.0852638360080484,0.0073407609101276,10,circular_seed_42.json,CBF,10.0,0,0,0.0,Kinematic
192,23.310233898481783,0.4716551772928011,0.0217613411042776,1.8080382181302088,0.0160831004325682,14,circular_seed_58.json,C3BF,11.5,4,1,0.0,Kinematic
193,39.710697760165665,0.3194416975174058,0.09935718028180066,1.516869675116165,0.01495875041954086,5,circular_seed_2.json,LBP,14.142135623730951,0,0,0.0,Kinematic
194,77.6545988916777,0.46781040881112307,0.1873577836427163,0.9753423496829239,0.0300829595881745,14,circular_seed_58.json,LBP,11.5,0,0,0.0,Kinematic
195,131.665985633376,0.260620634744111,0.18927269148391482,1.156664781646543,0.032397640583127045,8,circular_seed_41.json,LBP,10.0,0,0,0.0,Kinematic
196,73.71311476015332,0.5999884856844172,0.21747157686597837,1.0727940048310929,0.03590559446315683,14,circular_seed_59.json,LBP,11.5,0,0,0.0,Kinematic
197,26.60573005063932,0.46300265463529117,0.11418378091491937,1.2977173000655815,0.020375370377241964,6,circular_seed_11.json,LBP,10.0,0,0,0.0,Kinematic
198,33.43742106749157,0.5647235625386413,0.13752622440177395,1.3482409504984014,0.029897420415499757,11,circular_seed_47.json,LBP,10.0,1,0,0.0,Kinematic
199,123.75854640912193,0.3249197418201494,0.13644030032364912,1.2707038742239138,0.015979050583980255,5,circular_seed_1.json,LBP,14.142135623730951,0,0,0.0,Kinematic
200,77.94902764821309,0.49036410396599006,0.19328888682258255,0.8665387327118783,0.027118598231327777,11,circular_seed_30.json,LBP,10.0,0,0,0.0,Kinematic
201,54.46196287547726,0.39424473831147705,0.11872517286516052,1.515706316366537,0.01983492915657745,5,circular_seed_6.json,LBP,10.0,0,0,0.0,Kinematic
