,Path Length,Acceleration Usage,Steering Usage,Average Speed,Avg Computational Time,Robot Number,File Name,Method,Initial Distance,Solver Failure,Collision Number,Noise Scaling
0,1.4247128134829445,0.45990627239103804,0.05057241568474691,1.8432328648689082,0.0032071653124573943,5,circular_seed_2.json,C3BF,14.142135623730951,4,0,0.0
1,7.324331787673643,1.8427685098084083,0.1384288606662884,1.4496000414079597,0.0030386292576913133,5,circular_seed_2.json,CBF,14.142135623730951,0,0,0.0
2,35.397135489734715,0.38148091954195845,0.1386061166258216,1.457007617717616,0.013559508391082793,5,circular_seed_2.json,LBP,14.142135623730951,0,0,0.0
3,6.21194446738162,0.8511320645588452,0.08638699421114247,1.7560110069856285,0.0046974532872347844,5,circular_seed_2.json,C3BF_MPC,14.142135623730951,3,0,0.0
4,5.1535863983908685,0.5496653963008143,0.02797288517586622,1.7658204310325927,0.0058020132393177565,14,circular_seed_58.json,C3BF,11.5,1,0,0.0
5,12.507382129706247,1.7645223922638213,0.03870435837643541,1.3394505605079132,0.006498041450977325,14,circular_seed_58.json,CBF,11.5,0,0,0.0
6,36.40696161825087,0.43039818248515005,0.2640171430627854,0.8873070988040147,0.022982708451218616,14,circular_seed_58.json,LBP,11.5,0,0,0.0
7,12.199314594687058,0.5357223268959286,0.025805074224786596,1.7862015852119661,0.01567635799882599,14,circular_seed_58.json,C3BF_MPC,11.5,1,0,0.0
8,5.643768073100996,0.588915737732133,0.10445809996530517,1.7546170979986486,0.010579043115888323,8,circular_seed_41.json,C3BF,10.0,0,0,0.0
9,8.285658480432126,1.7138034907127835,0.11944304902697142,1.4982745086737257,0.010632337994045681,8,circular_seed_41.json,CBF,10.0,0,0,0.0
10,99.69585884804077,0.2322854790702887,0.21790064490047978,1.000036166356352,0.019687128332910926,8,circular_seed_41.json,LBP,10.0,0,0,0.0
11,14.464451336451791,0.5490831454429693,0.09763685315683646,1.7713749490940935,0.005563024636153336,8,circular_seed_41.json,C3BF_MPC,10.0,0,0,0.0
12,19.830727236540586,0.45795975713157855,0.03443352490413489,1.6606950928078863,0.007328374369203402,14,circular_seed_59.json,C3BF,11.5,4,0,0.0
13,51.13246719659615,2.076224672285893,0.042068441174656336,1.1002152813282937,0.00829702811976928,14,circular_seed_59.json,CBF,11.5,0,0,0.0
14,40.487066606788645,0.32241023728738366,0.30428589687379876,0.9438788420442722,0.02373705046817595,14,circular_seed_59.json,LBP,11.5,0,0,0.0
15,37.05588641647047,0.5467274760004979,0.03804135446578226,1.7136190560613467,0.006530972321828207,14,circular_seed_59.json,C3BF_MPC,11.5,1,0,0.0
16,5.259455199827941,0.48141287124332016,0.04890381809915471,1.7572348302186498,0.003488607625658015,6,circular_seed_11.json,C3BF,10.0,0,0,0.0
17,5.026301040113024,2.4362215416830155,0.07679648702406978,1.5474813446536322,0.003206915284389656,6,circular_seed_11.json,CBF,10.0,0,0,0.0
18,19.435102078889166,0.36287117820597176,0.23991660362999037,1.0764596632359191,0.013236911663642296,6,circular_seed_11.json,LBP,10.0,0,0,0.0
19,8.460765975248437,0.46941081415810454,0.047667704954938016,1.7633859015293136,0.004621477541716203,6,circular_seed_11.json,C3BF_MPC,10.0,0,0,0.0
20,6.381556581982658,0.45452645488598625,0.05022264554510631,1.6227133145725468,0.004221968169662653,11,circular_seed_47.json,C3BF,10.0,8,0,0.0
21,13.09711297218185,2.28549138662556,0.08673634346373761,1.3040202042459745,0.003325256699214399,11,circular_seed_47.json,CBF,10.0,0,0,0.0
22,29.119457508087827,0.30312703436617167,0.266406516079889,0.7052991143734527,0.018590662792330626,11,circular_seed_47.json,LBP,10.0,0,0,0.0
23,6.855168444790601,0.40354219521812845,0.03474163599485411,1.672662197305128,0.009845427781837422,11,circular_seed_47.json,C3BF_MPC,10.0,3,1,0.0
24,2.4116600871703175,0.4039537931867782,0.04574588747712296,1.8353301727842328,0.003373843750783375,5,circular_seed_1.json,C3BF,14.142135623730951,0,0,0.0
25,9.844338919280782,1.9425656068117338,0.11790095729907253,1.3834262006797347,0.003213936261700214,5,circular_seed_1.json,CBF,14.142135623730951,0,0,0.0
26,96.09913145095575,0.14665409658065,0.17471083957083558,1.1455485369006917,0.0129568262657209,5,circular_seed_1.json,LBP,14.142135623730951,0,0,0.0
27,9.862378092476819,0.8817470872308212,0.0730412263541286,1.6962400941858569,0.0045631608963012694,5,circular_seed_1.json,C3BF_MPC,14.142135623730951,0,0,0.0
28,1.2071948310219265,0.44413280344694944,0.02071782415231414,1.2524720614266334,0.0035789696675426557,11,circular_seed_30.json,C3BF,10.0,7,0,0.0
29,10.33365245656117,2.6024997339378446,0.07801496545734223,1.4185621298660989,0.003395051268308373,11,circular_seed_30.json,CBF,10.0,0,0,0.0
30,48.528020512993066,0.446869197316871,0.2678518094894749,0.7212232194096688,0.017453950329830773,11,circular_seed_30.json,LBP,10.0,0,0,0.0
31,4.382412810127409,0.4345781675635454,0.032984028629371,1.4567089526086539,0.005696854333287662,11,circular_seed_30.json,C3BF_MPC,10.0,7,1,0.0
32,3.4882413972485837,0.3666034504307496,0.07521578361017128,1.8365542766088545,0.0032029003291935117,5,circular_seed_6.json,C3BF,10.0,0,0,0.0
33,3.2718968021399335,0.9873361155858259,0.09263991083891596,1.741777111020422,0.003169921861178633,5,circular_seed_6.json,CBF,10.0,0,0,0.0
34,51.05006752242751,0.28189366912548064,0.15601681667690775,1.2157388090192105,0.015986524476595453,5,circular_seed_6.json,LBP,10.0,0,0,0.0
